0.4148 0.9529 0.1407 0.0206	｜= …
0.0389 0.8588 0.0389 0.0235	録音中
0.0852 0.8588 0.0481 0.0235	00:02
0.0278 0.7735 0.1296 0.0324	08:38の会議
0.0296 0.7412 0.1815 0.0206	ゆ マイクと画面の音を聞いています
0.0278 0.6853 0.2148 0.0265	Ken Windows は次の周で追います。
0.0296 0.6118 0.0630 0.0176	決まったこと
0.0296 0.5735 0.1667 0.0235	決まったことを待っています...
0.0296 0.5265 0.0407 0.0206	やること
0.0296 0.4912 0.1426 0.0206	やることを待っています...
0.0296 0.4441 0.0204 0.0176	メモ
0.0278 0.4059 0.2222 0.0235	18:42 Ken macOSを先に出します
0.0722 0.3765 0.1222 0.0176	Ken・10:42・出所＞・直す
0.0278 0.3382 0.2611 0.0235	14:21 Sarah オンボーディングを試作する
0.0722 0.3088 0.1315 0.0176	Sarah・14:21・出所＞・直す
0.6185 0.3412 0.0111 0.0147	く
0.0333 0.1059 0.1407 0.0235	*この会議について聞く
0.4037 0.0324 0.1944 0.0206	ull AIが見ている資料ーまだありません
0.6944 0.7794 0.0815 0.0265	三文字起こし
0.7963 0.7794 0.0481 0.0235	国翻訳
0.8630 0.7794 0.0444 0.0265	回字幕
0.6925 0.7171 0.0335 0.0159	10:38
0.6926 0.6853 0.0315 0.0147	18:42
0.6907 0.6559 0.0333 0.0147	18:55
0.7296 0.7147 0.0352 0.0176	Sarah
0.7315 0.6853 0.0222 0.0147	Ken
0.7296 0.6529 0.0241 0.0206	Ken
0.7815 0.7118 0.1407 0.0235	Windows はいつ出しますか。
0.7815 0.6853 0.1130 0.0176	macOS を先に出します
0.7815 0.6500 0.1519 0.0235	Windows は次の間で追います。
0.7111 0.2206 0.0907 0.0176	*リアルタイム要約
0.7296 0.1645 0.0537 0.0180	◎ 決定事項
0.8796 0.2206 0.0556 0.0176	国質問する
0.8759 0.1615 0.0630 0.0211	◎ アクション
0.9481 0.1059 0.0111 0.0206	k
